ace As
square skwAr
squash skwoS
squat skwat
squaw skwo
squawk skwok
squeak skwEk
squeal skwEl
squeeze skwEz
squint skwint
squire skwIr
squirm skwurm
squirt skwurt
stab st@b
stack st@k
staff st@f
stag st@g
stage stAj
staid stAd
stain stAn
stair stAr
stake stAk
stale stAl
stalk stok
stall stol
stamp st@mp
stance st@ns
stanch st@nC
stand st@nd
stank st@Nk
star star
starch starC
stare stAr
stark stark
start start
starve starv
state stAt
staunch stonC
stave stAv
stay stA
stead sted
steak stAk
steal stEl
stealth stelT
steam stEm
steed stEd
steel stEl
steep stEp
steer stEr
stein stIn
stem stem
stench stenC
step step
stern sturn
stew stU
stick stik
stiff stif
still stil
stilt stilt
sting stiN
stink stiNk
stint stint
stir stur
stitch stiC
stock stak
stole stOl
stone stOn
stood stud
stool stUl
stoop stUp
stop stap
store stOr
stork stOrk
storm stOrm
stout stWt
stove stOv
stow stO
strafe strAf
straight strAt
strain strAn
strait strAt
strand str@nd
strange strAnj
strap str@p
straw stro
stray strA
streak strEk
stream strEm
street strEt
strength streNT
stress stres
stretch streC
strewn strUn
strict strikt
stride strId
strife strIf
strike strIk
string striN
strip strip
stripe strIp
strive strIv
strobe strOb
strode strOd
stroke strOk
stroll strOl
strong stroN
strove strOv
struck str^k
strung str^N
strut str^t
stub st^b
stuck st^k
stud st^d
stuff st^f
stump st^mp
stung st^N
stunk st^Nk
stunt st^nt
style stIl
suave swav
sub s^b
such s^C
suck s^k
suds s^dz
sue sU
suede swAd
suit sUt
suite swEt
sulk s^lk
sum s^m
sun s^n
sung s^N
sunk s^Nk
sup s^p
sure Sur
surf surf
surge surj
svelte svelt
swam sw@m
swamp swamp
swan swan
swank sw@Nk
swap swap
swarm swOrm
swat swat
swatch swaC
swath swaT
sway swA
swear swAr
sweat swet
sweep swEp
sweet swEt
swell swel
swept swept
swerve swurv
swift swift
swig swig
swim swim
swine swIn
swing swiN
swipe swIp
swirl swurl
switch swiC
swoon swUn
swoop swUp
sword sOrd
swore swOr
sworn swOrn
swum sw^m
swung sw^N
tab t@b
tack t@k
tact t@kt
tag t@g
tail tAl
taint tAnt
take tAk
tale tAl
talk tok
tall tol
tame tAm
tamp t@mp
tan t@n
tang t@N
tank t@Nk
tape tAp
taps t@ps
tar tar
tart tart
task t@sk
taste tAst
taught tot
taunt tont
taut tot
tax t@ks
tea tE
teach tEC
teak tEk
team tEm
tear tAr
tear tEr
tease tEz
tech tek
tee tE
teen tEn
teens tEnz
teeth tET
tell tel
tempt tempt
ten ten
tend tend
tense tens
tent tent
tenth tenT
terms turms
terse turs
test test
text tekst
than D@n
thank T@Nk
that D@t
thaw To
the D^
thee DE
theft Teft
their DAr
them Dem
theme TEm
then Den
thence Dens
there DAr
these DEz
they DA
thick Tik
thief TEf
thigh TI
thin Tin
thine DIn
thing TiN
think TiNk
third Turd
thirst Turst
this Dis
thong ToN
thorn TOrn
those DOz
thou DW
though DO
thought Tot
thrash Tr@S
thread Tred
threat Tret
three TrE
threw TrU
thrice TrIs
thrift Trift
thrill Tril
thrive TrIv
throat TrOt
throes TrOz
throne TrOn
throng TroN
through TrU
throw TrO
thrown TrOn
thru TrU
thrush Tr^S
thrust Tr^st
thud T^d
thug T^g
thumb T^m
thump T^mp
thus D^s
thwack Tw@k
thwart TwOrt
thy DI
tick tik
tide tId
tie tI
tied tId
tier tEr
tight tIt
tile tIl
till til
tilt tilt
time tIm
times tImz
tin tin
tint tint
tip tip
tire tIr
toad tOd
toast tOst
toe tO
toes tOz
tog tog
toil tYl
told tOld
toll tOl
tomb tUm
tome tOm
ton t^n
tone tOn
tong toN
tongue t^N
too tU
took tuk
tool tUl
toot tUt
tooth tUT
top tap
torch tOrC
tore tOr
torn tOrn
torque tOrk
toss tos
tot tat
tote tOt
touch t^C
tough t^f
tour tUr
tout tWt
tow tO
town tWn
toy tY
trace trAs
track tr@k
tract tr@kt
trade trAd
trail trAl
train trAn
trait trAt
tramp tr@mp
trance tr@ns
trap tr@p
trash tr@S
tray trA
tread tred
treat trEt
tree trE
trench trenC
trend trend
trial trIl
tribe trIb
trick trik
tried trId
trig trig
trill tril
trim trim
trip trip
tripe trIp
trite trIt
troll trOl
troop trUp
trot trat
trough trof
troup trUp
troupe trUp
trout trWt
truce trUs
truck tr^k
true trU
trump tr^mp
trunk tr^Nk
trust tr^st
truth trUT
try trI
tryst trist
tsar zar
tub t^b
tube tUb
tuck t^k
tug t^g
tune tUn
turf turf
turn turn
tusk t^sk
twain twAn
tweed twEd
tweet twEt
twelfth twelfT
twelve twelv
twice twIs
twin twin
twine twIn
twinge twinj
twist twist
twitch twiC
two tU
tyme tIm
type tIp
ump ^mp
urge urj
urn urn
use yUs
vail vAl
vain vAn
vale vAl
valve v@lv
vamp v@mp
van v@n
vase vAs
vast v@st
vault volt
veal vEl
veer vEr
veil vAl
vein vAn
veldt velt
vend vend
vent vent
verb vurb
verge vurj
verse vurs
verve vurv
vest vest
vet vet
vex veks
vice vIs
vie vI
view vyU
vile vIl
vine vIn
vise vIs
voice vYs
void vYd
volt vOlt
vote vOt
vouch vWC
vow vW
vue vyU
wad wad
wade wAd
wag w@g
wage wAj
wail wAl
waist wAst
wait wAt
waive wAv
wake wAk
walk wok
wall wol
waltz wolts
wan wan
wand wand
wane wAn
want want
war wOr
ward wOrd
ware wAr
warm wOrm
warmth wOrmT
warn wOrn
warp wOrp
wart wOrt
was w^z
wash woS
wasp wasp
waste wAst
watch waC
watt wat
wave wAv
wax w@ks
way wA
ways wAz
weak wEk
wealth welT
wean wEn
wear wAr
weave wEv
web web
wed wed
wedge wej
wee wE
weed wEd
week wEk
weep wEp
weigh wA
weight wAt
weird wErd
welch welC
weld weld
well wel
welt welt
went went
wept wept
were wur
west west
wet wet
whack w@k
wharf wOrf
what w^t
wheat wEt
wheel wEl
whelp welp
when wen
whence wens
where wAr
which wiC
whiff wif
whig wig
whil wil
while wIl
whim wim
whine wIn
whip wip
whir wur
whirl wurl
whit wit
white wIt
whiz wiz
who hU
whole hOl
whom hUm
whoop wUp
whoosh wUS
whore hOr
whorl wOrl
whose hUz
why wI
wick wik
wide wId
width widT
wield wEld
wife wIf
wig wig
wild wIld
will wil
wilt wilt
win win
wind wInd
wind wind
wine wIn
wing wiN
wink wiNk
wipe wIp
wire wIr
wise wIz
wish wiS
wisp wisp
wit wit
witch wiC
with wiT
woe wO
woke wOk
wolf wulf
womb wUm
won w^n
wont wOnt
woo wU
wood wud
wool wul
word wurd
wore wOr
work wurk
world wurld
worm wurm
worn wOrn
worse wurs
worst wurst
worth wurT
would wud
wound wUnd
wound wWnd
wove wOv
wow wW
wrack r@k
wrap r@p
wrath r@T
wreak rEk
wreath rET
wreck rek
wren ren
wrest rest
wretch reC
wring riN
wrist rist
writ rit
write rIt
writhe rID
wrong roN
wrote rOt
wrought rot
wry rI
yacht yat
yak y@k
yam y@m
yang y@N
yank y@Nk
yard yard
yarn yarn
yaw yo
yawl yol
yawn yon
yea yA
yeah y@
year yEr
yearn yurn
yeast yEst
yell yel
yelp yelp
yen yen
yes yes
yet yet
yield yEld
yoke yOk
yolk yOk
yon yan
yore yOr
york yOrk
you yU
young y^N
your yOr
youth yUT
zeal zEl
zen zen
zest zest
zinc ziNk
zing ziN
zip zip
zit zit
zone zOn
zoo zU
zounds zWnz
